Coffee
Water
bananas
AAA batteries
almond milk
okra
Beans
Floss
chips
apples
garlic
balsamic vinegar
kosher salt
zucchini
Applesauce
lemon
strawberries
chicken breast
avocados
Greek yogurt
black beans
string cheese
kale
chia seeds
bok choy
diced tomatoes
Neosporin
whole wheat bread
lactose-free milk
Salmon
red bell pepper
frozen peas
cocoa powder
canned black beans
Cherry tomatoes
spaghetti squash
lime
children's toothpaste
mini chocolate chips
green bell pepper
dark chocolate
crunchy peanut butter
plain Greek yogurt
1% Milk
whole wheat pastry flour
whole grain crackers
plastic container
diced tomatoes
montery jack cheese
whole wheat torilla
cinnamon spice instant oatmeal
Skinless chicken thighs
